,angry,disgust,fear,happy,sad,surprise,neutral,status,image
0,0.1,0.0,0.14,0.05,0.09,0.0,0.61,True,05bNPqJ8soX4YBIw2qMlN1TXuOh1.jpg
1,0.02,0.0,0.0,0.06,0.0,0.0,0.92,True,0fpWCikBNGbci25gFkDTw8hauMk2.jpg
2,0.05,0.0,0.0,0.35,0.01,0.0,0.58,True,0Lci2hsXVjRPQaTDuUwBj31aEl22.jpg
3,0.05,0.0,0.01,0.03,0.05,0.0,0.86,True,0TPb6PPCjNd0lMSIxvxCmQqGVNX2.jpg
4,0.01,0.0,0.0,0.62,0.02,0.0,0.36,True,0yinzTQGg7V5IrmkvaURXwDiB8v1.jpg
5,0.04,0.0,0.0,0.08,0.01,0.0,0.87,True,0z6YH7ibZociR3A3sOIYzFTCK892.jpg
6,0.07,0.0,0.0,0.01,0.02,0.0,0.9,True,1bAlt9ek7UPB1zAQqC0Nu7Zn1kf1.jpg
7,0.04,0.0,0.0,0.19,0.07,0.01,0.69,True,1eQwF6x8CESzAJ1DMwd72YnraF63.jpg
8,0.03,0.0,0.0,0.55,0.0,0.03,0.38,True,1G9id1GTZafODv2gxche9ZHHB1M2.jpg
9,0.02,0.0,0.07,0.23,0.02,0.06,0.6,True,1LyT3fqvP0WOgzcUNYbwcIJ2Lnl1.jpg
10,0.02,0.0,0.05,0.0,0.05,0.0,0.88,True,1vp29ssepiXhZOIOulc1t8rkr8F2.jpg
11,0.02,0.0,0.01,0.14,0.03,0.01,0.8,True,2DrHNcvPEdfnmW7hLNeGPaZltnC3.jpg
12,0.03,0.0,0.01,0.0,0.02,0.0,0.94,True,2rbE4ZUWWcTNRLrDlESRNbchAEG2.jpg
13,0.02,0.0,0.01,0.23,0.04,0.0,0.69,True,2Ubr0PNj5hhQFreIueBuDc3AMq93.jpg
14,0.02,0.0,0.01,0.01,0.02,0.0,0.94,True,3gZURSD0YccowC8diq7qBRx71Vm2.jpg
15,0.02,0.0,0.0,0.1,0.01,0.0,0.87,True,3KjLF65gBhgbjSPXpDdUgIIipnF2.jpg
16,0.06,0.0,0.03,0.08,0.05,0.06,0.71,True,3Vj5zpCsh3ekV8Si41ENiHwFpHn1.jpg
17,0.02,0.0,0.0,0.04,0.0,0.0,0.95,True,4btnAWdGyqhuX3OMTtcOJ3QLCFj1.jpg
18,0.01,0.0,0.0,0.0,0.01,0.0,0.97,True,4fFK2HP0UsddRQ4ZnmOQy3oUZSk1.jpg
19,0.0,0.0,0.0,0.42,0.0,0.0,0.57,True,4O3yhA9jZwWv0Hqq6PpzbFke4Of2.jpg
20,0.04,0.0,0.01,0.01,0.03,0.0,0.92,True,4pdfHzpHU0gxc0Fo5Edio6ce2C93.jpg
21,0.04,0.0,0.11,0.0,0.14,0.0,0.7,True,4tA0z0Rk3baAbAkqe1FBFjGKOQ13.jpg
22,0.02,0.0,0.0,0.58,0.01,0.0,0.39,True,4YyHOEk48kYbAhi2u5ImI0ucvfz1.jpg
23,0.04,0.0,0.01,0.01,0.0,0.0,0.93,True,5gQn9dpiXLV06VLWYHWXlA8BNCW2.jpg
24,0.12,0.0,0.05,0.01,0.1,0.02,0.7,True,5OuzOYRj9YQNJwJA0ALnwXWtdIr2.jpg
25,0.02,0.0,0.0,0.0,0.03,0.0,0.94,True,5VjZtJbNlqfY8EneRqTXFCcI30K3.jpg
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,63kqArQVbWe5fMwplxObQqQTWcB3.jpg
27,0.08,0.0,0.11,0.01,0.08,0.03,0.69,True,6HKK9OLpxIVH8LwhwKTBAXPzDBJ2.jpg
28,0.01,0.0,0.04,0.1,0.01,0.01,0.83,True,743kAjg7UvhBHOhnNx6VL2tXAkn1.jpg
29,0.05,0.0,0.01,0.04,0.02,0.01,0.88,True,7D2KrfERaOOhfMJJkxEB0QlUaEW2.jpg
